2025-05-12 06:06:45,524 - Spot Price: 24735.5, Supertrend: Red, Above EMA
2025-05-12 06:07:16,767 - Spot Price: 24736.25, Supertrend: Red, Above EMA
2025-05-12 06:07:48,432 - Spot Price: 24734.2, Supertrend: Red, Above EMA
2025-05-12 06:08:19,785 - Spot Price: 24729.05, Supertrend: Red, Above EMA
2025-05-12 06:08:51,039 - Spot Price: 24727.1, Supertrend: Red, Above EMA
2025-05-12 06:09:22,549 - Spot Price: 24722.55, Supertrend: Red, Above EMA
2025-05-12 06:09:54,319 - Spot Price: 24722.25, Supertrend: Red, Above EMA
2025-05-12 06:10:25,632 - Spot Price: 24726.05, Supertrend: Red, Above EMA
2025-05-12 06:10:56,941 - Spot Price: 24727.75, Supertrend: Red, Above EMA
2025-05-12 06:11:28,791 - Spot Price: 24723.5, Supertrend: Red, Above EMA
2025-05-12 06:12:00,431 - Spot Price: 24720.55, Supertrend: Red, Above EMA
2025-05-12 06:12:32,941 - Spot Price: 24716.75, Supertrend: Red, Above EMA
2025-05-12 06:13:04,307 - Spot Price: 24719.25, Supertrend: Red, Above EMA
2025-05-12 06:13:36,405 - Spot Price: 24722.3, Supertrend: Red, Above EMA
2025-05-12 06:14:08,214 - Spot Price: 24729.3, Supertrend: Red, Above EMA
2025-05-12 06:14:39,941 - Spot Price: 24728.9, Supertrend: Red, Above EMA
2025-05-12 06:15:11,316 - Spot Price: 24730.2, Supertrend: Red, Above EMA
2025-05-12 06:15:42,916 - Spot Price: 24725.6, Supertrend: Red, Above EMA
2025-05-12 06:16:14,489 - Spot Price: 24729.95, Supertrend: Red, Above EMA
2025-05-12 06:16:46,387 - Spot Price: 24723.3, Supertrend: Red, Above EMA
2025-05-12 06:17:17,701 - Spot Price: 24719.15, Supertrend: Red, Above EMA
2025-05-12 06:17:49,197 - Spot Price: 24719.8, Supertrend: Red, Above EMA
2025-05-12 06:18:20,595 - Spot Price: 24722.55, Supertrend: Red, Above EMA
2025-05-12 06:18:52,643 - Spot Price: 24724.2, Supertrend: Red, Above EMA
2025-05-12 06:19:23,883 - Spot Price: 24724.75, Supertrend: Red, Above EMA
2025-05-12 06:19:55,173 - Spot Price: 24726.35, Supertrend: Red, Above EMA
2025-05-12 06:20:26,464 - Spot Price: 24723.65, Supertrend: Red, Above EMA
2025-05-12 06:20:57,796 - Spot Price: 24722.8, Supertrend: Red, Above EMA
2025-05-12 06:21:29,576 - Spot Price: 24721.35, Supertrend: Red, Above EMA
2025-05-12 06:22:00,990 - Spot Price: 24718.2, Supertrend: Red, Above EMA
2025-05-12 06:22:32,480 - Spot Price: 24721.2, Supertrend: Red, Above EMA
2025-05-12 06:23:03,883 - Spot Price: 24721.5, Supertrend: Red, Above EMA
2025-05-12 06:23:35,150 - Spot Price: 24721.0, Supertrend: Red, Above EMA
2025-05-12 06:24:06,833 - Spot Price: 24720.45, Supertrend: Red, Above EMA
2025-05-12 06:24:39,003 - Spot Price: 24718.55, Supertrend: Red, Above EMA
2025-05-12 06:25:10,801 - Spot Price: 24726.75, Supertrend: Red, Above EMA
2025-05-12 06:25:42,148 - Spot Price: 24726.8, Supertrend: Red, Above EMA
2025-05-12 06:26:14,091 - Spot Price: 24724.4, Supertrend: Red, Above EMA
2025-05-12 06:26:45,524 - Spot Price: 24721.6, Supertrend: Red, Above EMA
2025-05-12 06:27:16,791 - Spot Price: 24718.85, Supertrend: Red, Above EMA
2025-05-12 06:27:48,651 - Spot Price: 24717.05, Supertrend: Red, Above EMA
2025-05-12 06:28:20,280 - Spot Price: 24720.4, Supertrend: Red, Above EMA
2025-05-12 06:28:51,727 - Spot Price: 24721.1, Supertrend: Red, Above EMA
2025-05-12 06:29:23,148 - Spot Price: 24718.35, Supertrend: Red, Above EMA
2025-05-12 06:29:55,706 - Spot Price: 24717.15, Supertrend: Red, Above EMA
2025-05-12 06:30:27,580 - Spot Price: 24719.35, Supertrend: Red, Above EMA
2025-05-12 06:30:58,847 - Spot Price: 24717.15, Supertrend: Red, Above EMA
2025-05-12 06:31:30,290 - Spot Price: 24722.05, Supertrend: Red, Above EMA
2025-05-12 06:32:01,590 - Spot Price: 24717.0, Supertrend: Red, Above EMA
2025-05-12 06:32:33,122 - Spot Price: 24714.95, Supertrend: Red, Above EMA
2025-05-12 06:33:04,940 - Spot Price: 24714.8, Supertrend: Red, Above EMA
2025-05-12 06:33:36,237 - Spot Price: 24715.6, Supertrend: Red, Above EMA
2025-05-12 06:34:08,278 - Spot Price: 24719.8, Supertrend: Red, Above EMA
2025-05-12 06:34:39,535 - Spot Price: 24722.4, Supertrend: Red, Above EMA
2025-05-12 06:35:10,878 - Spot Price: 24718.75, Supertrend: Red, Above EMA
2025-05-12 06:35:42,471 - Spot Price: 24721.1, Supertrend: Red, Above EMA
2025-05-12 06:36:13,809 - Spot Price: 24725.7, Supertrend: Red, Above EMA
2025-05-12 06:36:45,106 - Spot Price: 24724.2, Supertrend: Red, Above EMA
2025-05-12 06:37:16,630 - Spot Price: 24724.0, Supertrend: Red, Above EMA
2025-05-12 06:37:47,942 - Spot Price: 24725.25, Supertrend: Red, Above EMA
2025-05-12 06:38:19,237 - Spot Price: 24727.9, Supertrend: Red, Above EMA
2025-05-12 06:38:51,250 - Spot Price: 24724.1, Supertrend: Red, Above EMA
2025-05-12 06:39:22,539 - Spot Price: 24724.15, Supertrend: Red, Above EMA
2025-05-12 06:39:53,778 - Spot Price: 24718.9, Supertrend: Red, Above EMA
2025-05-12 06:40:25,634 - Spot Price: 24717.4, Supertrend: Red, Above EMA
2025-05-12 06:40:56,944 - Spot Price: 24715.7, Supertrend: Red, Above EMA
2025-05-12 06:41:28,301 - Spot Price: 24716.85, Supertrend: Red, Above EMA
2025-05-12 06:41:59,626 - Spot Price: 24720.6, Supertrend: Red, Above EMA
2025-05-12 06:42:31,483 - Spot Price: 24719.45, Supertrend: Red, Above EMA
2025-05-12 06:43:02,830 - Spot Price: 24721.1, Supertrend: Red, Above EMA
2025-05-12 06:43:34,624 - Spot Price: 24718.45, Supertrend: Red, Above EMA
2025-05-12 06:44:06,360 - Spot Price: 24720.5, Supertrend: Red, Above EMA
2025-05-12 06:44:38,429 - Spot Price: 24722.95, Supertrend: Red, Above EMA
2025-05-12 06:45:09,742 - Spot Price: 24724.2, Supertrend: Red, Above EMA
2025-05-12 06:45:41,587 - Spot Price: 24725.0, Supertrend: Red, Above EMA
2025-05-12 06:46:13,262 - Spot Price: 24722.2, Supertrend: Red, Above EMA
2025-05-12 06:46:45,179 - Spot Price: 24722.2, Supertrend: Red, Above EMA
2025-05-12 06:47:16,364 - Spot Price: 24726.0, Supertrend: Red, Above EMA
2025-05-12 06:47:47,725 - Spot Price: 24722.05, Supertrend: Red, Above EMA
2025-05-12 06:48:19,005 - Spot Price: 24721.45, Supertrend: Red, Above EMA
2025-05-12 06:48:50,332 - Spot Price: 24719.6, Supertrend: Red, Above EMA
2025-05-12 06:49:21,643 - Spot Price: 24720.5, Supertrend: Red, Above EMA
2025-05-12 06:49:53,367 - Spot Price: 24720.9, Supertrend: Red, Above EMA
2025-05-12 06:50:25,519 - Spot Price: 24715.95, Supertrend: Red, Above EMA
